Date,High,Low,Open,Close,Volume,Adj Close
2016-02-29,375.0,375.0,375.0,375.0,0.0,375.0
2016-03-01,357.5,327.5,327.5,357.5,0.0,357.5
2016-03-02,357.5,357.5,357.5,357.5,0.0,357.5
2016-03-03,357.5,357.5,357.5,357.5,0.0,357.5
2016-03-04,335.0,335.0,335.0,335.0,0.0,335.0
2016-03-07,335.0,325.0,325.0,330.0,0.0,330.0
2016-03-08,290.0,290.0,290.0,290.0,0.0,290.0
2016-03-09,327.5,292.5,325.0,292.5,0.0,292.5
2016-03-10,375.0,300.0,375.0,320.0,0.0,320.0
2016-03-11,302.5,270.0,302.5,270.0,0.0,270.0
2016-03-14,357.5,297.5,297.5,325.0,0.0,325.0
2016-03-15,325.0,325.0,325.0,325.0,0.0,325.0
2016-03-16,375.0,350.0,375.0,352.5,0.0,352.5
2016-03-17,382.5,380.0,382.5,380.0,0.0,380.0
2016-03-18,367.5,367.5,367.5,367.5,0.0,367.5
2016-03-21,332.5,322.5,322.5,332.5,0.0,332.5
2016-03-22,362.5,350.0,362.5,350.0,0.0,350.0
2016-03-23,350.0,350.0,350.0,350.0,0.0,350.0
2016-03-24,350.0,350.0,350.0,350.0,0.0,350.0
2016-03-28,350.0,350.0,350.0,350.0,0.0,350.0
2016-03-29,350.0,350.0,350.0,350.0,0.0,350.0
2016-03-30,355.0,300.0,335.0,300.0,0.0,300.0
2016-03-31,300.0,300.0,300.0,300.0,0.0,300.0
2016-04-01,300.0,300.0,300.0,300.0,0.0,300.0
2016-04-04,372.5,302.5,340.0,315.0,0.0,315.0
2016-04-05,335.0,315.0,335.0,315.0,0.0,315.0
2016-04-06,315.0,315.0,315.0,315.0,0.0,315.0
2016-04-07,415.0,340.0,367.5,340.0,0.0,340.0
2016-04-08,342.5,330.0,342.5,330.0,0.0,330.0
2016-04-11,387.5,325.0,325.0,365.0,0.0,365.0
2016-04-12,417.5,352.5,417.5,352.5,0.0,352.5
2016-04-13,357.5,357.5,357.5,357.5,0.0,357.5
2016-04-14,375.0,375.0,375.0,375.0,0.0,375.0
2016-04-15,347.5,325.0,347.5,325.0,0.0,325.0
2016-04-18,325.0,325.0,325.0,325.0,0.0,325.0
2016-04-19,325.0,325.0,325.0,325.0,0.0,325.0
2016-04-20,415.0,320.0,385.0,350.0,100.0,350.0
2016-04-21,390.0,362.5,362.5,390.0,0.0,390.0
2016-04-22,350.0,350.0,350.0,350.0,0.0,350.0
2016-04-25,362.5,362.5,362.5,362.5,0.0,362.5
2016-04-26,402.5,337.5,402.5,337.5,0.0,337.5
2016-04-27,350.0,350.0,350.0,350.0,0.0,350.0
2016-04-28,337.5,332.5,337.5,332.5,0.0,332.5
2016-04-29,330.0,322.5,322.5,330.0,0.0,330.0
2016-05-02,337.5,330.0,337.5,330.0,0.0,330.0
2016-05-03,355.0,350.0,350.0,355.0,0.0,355.0
2016-05-04,355.0,355.0,355.0,355.0,0.0,355.0
2016-05-05,355.0,355.0,355.0,355.0,0.0,355.0
2016-05-06,355.0,355.0,355.0,355.0,0.0,355.0
2016-05-09,310.0,310.0,310.0,310.0,0.0,310.0
2016-05-10,310.0,310.0,310.0,310.0,0.0,310.0
2016-05-11,342.5,332.5,342.5,332.5,0.0,332.5
2016-05-12,332.5,332.5,332.5,332.5,0.0,332.5
2016-05-13,325.0,307.5,315.0,310.0,0.0,310.0
2016-05-16,335.0,335.0,335.0,335.0,0.0,335.0
2016-05-17,357.5,330.0,345.0,337.5,0.0,337.5
2016-05-18,337.5,337.5,337.5,337.5,0.0,337.5
2016-05-19,337.5,337.5,337.5,337.5,0.0,337.5
2016-05-20,337.5,337.5,337.5,337.5,0.0,337.5
2016-05-23,337.5,337.5,337.5,337.5,0.0,337.5
2016-05-24,337.5,337.5,337.5,337.5,0.0,337.5
2016-05-25,337.5,337.5,337.5,337.5,0.0,337.5
2016-05-26,317.5,282.5,317.5,282.5,0.0,282.5
2016-05-27,287.5,275.0,287.5,275.0,0.0,275.0
2016-05-31,297.5,257.5,257.5,297.5,0.0,297.5
2016-06-01,302.5,297.5,297.5,297.5,0.0,297.5
2016-06-02,277.5,260.0,262.5,277.5,0.0,277.5
2016-06-03,277.5,277.5,277.5,277.5,0.0,277.5
2016-06-06,2500.0,302.5,302.5,1805.0,36200.0,1805.0
2016-06-07,3890.0,1532.5,1532.5,2812.5,63300.0,2812.5
2016-06-08,4250.0,2977.5,3517.5,3437.5,29200.0,3437.5
2016-06-09,3477.5,2637.5,3350.0,2775.0,6200.0,2775.0
2016-06-10,2700.0,2252.5,2612.5,2322.5,2400.0,2322.5
2016-06-13,2875.0,2350.0,2500.0,2587.5,3800.0,2587.5
2016-06-14,2680.0,2360.0,2585.0,2472.5,900.0,2472.5
2016-06-15,3605.0,2472.5,2475.0,3317.5,8600.0,3317.5
2016-06-16,3650.0,2997.5,3432.5,3067.5,1800.0,3067.5
2016-06-17,3322.5,2955.0,3005.0,3050.0,800.0,3050.0
2016-06-20,3370.0,2972.5,3370.0,3075.0,600.0,3075.0
2016-06-21,3047.5,2765.0,3012.5,2872.5,500.0,2872.5
2016-06-22,2812.5,2625.0,2812.5,2632.5,200.0,2632.5
2016-06-23,2810.0,2462.5,2810.0,2617.5,300.0,2617.5
2016-06-24,2562.5,2330.0,2500.0,2525.0,200.0,2525.0
2016-06-27,2470.0,2132.5,2425.0,2352.5,100.0,2352.5
2016-06-28,2500.0,2222.5,2350.0,2457.5,200.0,2457.5
2016-06-29,2440.0,2165.0,2440.0,2267.5,400.0,2267.5
2016-06-30,2372.5,2167.5,2372.5,2287.5,100.0,2287.5
2016-07-01,2285.0,2125.0,2222.5,2137.5,100.0,2137.5
2016-07-05,2150.0,1840.0,2150.0,1900.0,200.0,1900.0
2016-07-06,2272.5,1925.0,2272.5,1975.0,0.0,1975.0
2016-07-07,2160.0,1845.0,1917.5,2075.0,200.0,2075.0
2016-07-08,2600.0,2077.5,2077.5,2430.0,700.0,2430.0
2016-07-11,2530.0,2152.5,2400.0,2367.5,200.0,2367.5
2016-07-12,2812.5,2427.5,2755.0,2442.5,200.0,2442.5
2016-07-13,2367.5,2220.0,2367.5,2230.0,100.0,2230.0
2016-07-14,2655.0,2160.0,2212.5,2412.5,200.0,2412.5
2016-07-15,2350.0,2190.0,2350.0,2270.0,300.0,2270.0
2016-07-18,2365.0,2000.0,2365.0,2022.5,700.0,2022.5
2016-07-19,2090.0,2005.0,2005.0,2052.5,0.0,2052.5
2016-07-20,2225.0,1912.5,2225.0,1935.0,100.0,1935.0
2016-07-21,1962.5,1780.0,1962.5,1840.0,100.0,1840.0
2016-07-22,1992.5,1780.0,1780.0,1965.0,0.0,1965.0
2016-07-25,2055.0,1812.5,1990.0,2047.5,500.0,2047.5
2016-07-26,2017.5,1877.5,1987.5,1995.0,200.0,1995.0
2016-07-27,2070.0,1940.0,2070.0,2050.0,0.0,2050.0
2016-07-28,2050.0,1970.0,2000.0,2037.5,0.0,2037.5
2016-07-29,2037.5,1950.0,1950.0,1995.0,0.0,1995.0
2016-08-01,2087.5,1835.0,2087.5,1937.5,0.0,1937.5
